,id,scholar_id,title,abstract,bib_id,journal,number,pages,pub_type,pub_year,publisher,venue,volume,num_citations,gsrank,citedby_url,eprint_url,pub_url,url_add_sclib,url_related_articles,url_scholarbib,search_term,depth,fetched_citations
171,172,IHSbEI5X4g8J,Quantitative forecasting of PTSD from early trauma responses: A machine learning application,Subjects in the current study were adults who were admitted to Hadassah University Hospital  emergency department (ED) immediately following potentially traumatic events (age 18–70,galatzer2014quantitative,Journal of psychiatric research,,68--76,article,2014.0,Elsevier,Journal of psychiatric …,59.0,217,190,"/scholar?cites=1144573522981123104&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4252741/,https://www.sciencedirect.com/science/article/pii/S002239561400260X,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D180%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=IHSbEI5X4g8J&ei=q6A0Y_fCCbaVy9YPy_uvsA8&json=","/scholar?q=related:IHSbEI5X4g8J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:IHSbEI5X4g8J:scholar.google.com/&output=cite&scirp=189&hl=en,"""emergency department"" machine learning",0,0
172,173,srsHQu9WbKsJ,Bridging a translational gap: using machine learning to improve the prediction of PTSD,"Data variables (features) reflecting event characteristics, emergency department (ED)  records and early symptoms were collected in 957 trauma survivors within ten days of ED",karstoft2015bridging,BMC psychiatry,1,1--7,article,2015.0,Springer,BMC psychiatry,15.0,131,191,"/scholar?cites=12352343463575403442&as_sdt=5,33&sciodt=1,33&hl=en",https://link.springer.com/article/10.1186/s12888-015-0399-8,https://link.springer.com/article/10.1186/s12888-015-0399-8,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=srsHQu9WbKsJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:srsHQu9WbKsJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:srsHQu9WbKsJ:scholar.google.com/&output=cite&scirp=190&hl=en,"""emergency department"" machine learning",0,0
173,174,xQAhicdBu4UJ,Artificial intelligence for diagnosis of acute coronary syndromes: a meta-analysis of machine learning approaches,We aim to evaluate the diagnostic value of various methods of ML for ACS by summarizing  the published studies evaluating ML in patients who presented to the emergency department,iannattone2020artificial,Canadian Journal of Cardiology,4,577--583,article,2020.0,Elsevier,Canadian Journal of …,36.0,28,192,"/scholar?cites=9636368152944246981&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.sciencedirect.com/science/article/pii/S0828282X19312693,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=xQAhicdBu4UJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:xQAhicdBu4UJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:xQAhicdBu4UJ:scholar.google.com/&output=cite&scirp=191&hl=en,"""emergency department"" machine learning",0,0
174,175,Xn49bO_HCtcJ,Deep learning for chest radiograph diagnosis in the emergency department,"In conclusion, we tested a deep learning algorithm in emergency department patients during  their first visit for the identification of chest radiographs with clinically relevant abnormalities.",hwang2019deep,Radiology,3,573--580,article,2019.0,Radiological Society of North America,Radiology,293.0,81,193,"/scholar?cites=15495417299048693342&as_sdt=5,33&sciodt=1,33&hl=en",https://pubs.rsna.org/doi/pdf/10.1148/radiol.2019191225,https://pubs.rsna.org/doi/abs/10.1148/radiol.2019191225,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=Xn49bO_HCtcJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:Xn49bO_HCtcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:Xn49bO_HCtcJ:scholar.google.com/&output=cite&scirp=192&hl=en,"""emergency department"" machine learning",0,0
175,176,jtGNjJG8LjcJ,Machine learning techniques in diagnosis of pulmonary embolism,presenting to Emergency Department with pulmonary complaints including dyspnea and  chest pain between January 2010 and October 2013. Results: Machine learning techniques,benkol2015machine,Journal of Clinical and Analytical Medicine,,,article,2015.0,,Journal of Clinical and Analytical …,6.0,5,194,"/scholar?cites=3976322854329110926&as_sdt=5,33&sciodt=1,33&hl=en",,https://avesis.gazi.edu.tr/yayin/d8af4d87-0604-4efc-8312-5f347065cea1/machine-learning-techniques-in-diagnosis-of-pulmonary-embolism,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=jtGNjJG8LjcJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:jtGNjJG8LjcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:jtGNjJG8LjcJ:scholar.google.com/&output=cite&scirp=193&hl=en,"""emergency department"" machine learning",0,0
176,177,hbT0eeFMsxUJ,An artificial intelligence system for predicting the deterioration of COVID-19 patients in the emergency department,"We use two different machine learning models for this task: COVID-GMIC to process chest  X-ray images, and COVID-GBM to process clinical variables. For each time window \(t\in {{\",shamout2021artificial,NPJ digital medicine,1,1--11,article,2021.0,Nature Publishing Group,NPJ digital …,4.0,59,195,"/scholar?cites=1563678026925126789&as_sdt=5,33&sciodt=1,33&hl=en",https://www.nature.com/articles/s41746-021-00453-0?ref=https://coder.social,https://www.nature.com/articles/s41746-021-00453-0?ref=https://coder.social,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=hbT0eeFMsxUJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:hbT0eeFMsxUJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:hbT0eeFMsxUJ:scholar.google.com/&output=cite&scirp=194&hl=en,"""emergency department"" machine learning",0,0
177,178,HBQBx1ibAjoJ,Construct an optimal triage prediction model: A case study of the emergency department of a teaching hospital in Taiwan,of machine learning. SVM allows categorization of an individual's previously unseen data  into a predefined group using a classification algorithm developed on a training data set. In,wang2013construct,Journal of medical systems,5,1--11,article,2013.0,Springer,Journal of medical systems,37.0,24,196,"/scholar?cites=4180074209751405596&as_sdt=5,33&sciodt=1,33&hl=en",,https://link.springer.com/article/10.1007/s10916-013-9968-x,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=HBQBx1ibAjoJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:HBQBx1ibAjoJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:HBQBx1ibAjoJ:scholar.google.com/&output=cite&scirp=195&hl=en,"""emergency department"" machine learning",0,0
178,179,DPaHODFJMEYJ,Machine Learning to Predict In-Hospital Cardiac Arrest in Patients Admitted from the Emergency Department with COVID-19 and Suspected Pneumonia,"By using the machine learning (ML) approach, we aimed to develop and validate the ML  models to predict in-hospital cardiac arrest (IHCA) in patients admitted from the ED.",lu2021machine,Circulation,Suppl\_2,A10992--A10992,article,2021.0,Am Heart Assoc,Circulation,144.0,0,197,,,https://www.ahajournals.org/doi/abs/10.1161/circ.144.suppl_2.10992,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=DPaHODFJMEYJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:DPaHODFJMEYJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:DPaHODFJMEYJ:scholar.google.com/&output=cite&scirp=196&hl=en,"""emergency department"" machine learning",0,0
180,181,K8XzSEqArIIJ,Prediction of revascularization by coronary CT angiography using a machine learning ischemia risk score,"analysis), referral location (inpatient or emergency department versus outpatient), and ML-  by 76% for patients from inpatient or emergency department in the per-patient analysis (p =",kwan2021prediction,European Radiology,3,1227--1235,article,2021.0,Springer,European …,31.0,13,199,"/scholar?cites=9416041977464735019&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882015/,https://link.springer.com/article/10.1007/s00330-020-07142-8,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=K8XzSEqArIIJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:K8XzSEqArIIJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:K8XzSEqArIIJ:scholar.google.com/&output=cite&scirp=198&hl=en,"""emergency department"" machine learning",0,0
181,182,-Y3sdSnG01kJ,Manifold ranking based scoring system with its application to cardiac arrest prediction: a retrospective study in emergency department patients,"with learning algorithm widely used for data mining. With the advancement of computation  technology, it is now possible to use machine learning  Nonetheless, each machine learning",liu2015manifold,Computers in Biology and Medicine,,74--82,article,2015.0,Elsevier,Computers in Biology …,67.0,13,200,"/scholar?cites=6472734970835930617&as_sdt=5,33&sciodt=1,33&hl=en",https://www.academia.edu/download/44753047/Manifold_ranking_based_scoring_system_wi20160415-11894-baxwrp.pdf,https://www.sciencedirect.com/science/article/pii/S0010482515003352,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D190%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=-Y3sdSnG01kJ&ei=dKE0Y_eCJdHsyASNjL-oDw&json=","/scholar?q=related:-Y3sdSnG01kJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:-Y3sdSnG01kJ:scholar.google.com/&output=cite&scirp=199&hl=en,"""emergency department"" machine learning",0,0
182,183,ao_zTJlXXVwJ,Using a guided machine learning ensemble model to predict discharge disposition following meningioma resection,"(BMI), comorbidities, presenting symptoms, indications for surgery, presence or absence of  motor or language deficits, and whether patients presented to the emergency department or",muhlestein2018using,Journal of Neurological Surgery Part B: Skull Base,2,123--130,article,2018.0,Georg Thieme Verlag KG,… Surgery Part B: Skull …,79.0,22,201,"/scholar?cites=6655572140256104298&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5978858/,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0037-1604393,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=ao_zTJlXXVwJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:ao_zTJlXXVwJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:ao_zTJlXXVwJ:scholar.google.com/&output=cite&scirp=200&hl=en,"""emergency department"" machine learning",0,0
183,184,X4nKMtJc_joJ,Machine learning-based CT fractional flow reserve assessment in acute chest pain: first experience,We evaluated the feasibility and potential clinical role of FFR CT in patients presenting to  the emergency department with acute chest pain who underwent chest-pain CT (CPCT).,eberhard2020machine,Cardiovascular Diagnosis and Therapy,4,820,article,2020.0,AME Publications,Cardiovascular …,10.0,11,202,"/scholar?cites=4250937156149348703&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7487397/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7487397/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=X4nKMtJc_joJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:X4nKMtJc_joJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:X4nKMtJc_joJ:scholar.google.com/&output=cite&scirp=201&hl=en,"""emergency department"" machine learning",0,0
184,185,GDvlnOrp2ZEJ,Automatic classification of free-text radiology reports to identify limb fractures using machine learning and the snomed ct ontology,Machine learning algorithms and a wide range of features were tested on a set of 99  a  large Emergency Department. It was found that automatic techniques based on machine learning,zuccon2013automatic,AMIA Summits on Translational Science Proceedings,,300,article,2013.0,American Medical Informatics Association,AMIA Summits on …,2013.0,42,203,"/scholar?cites=10509688399309650712&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3845773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3845773/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=GDvlnOrp2ZEJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:GDvlnOrp2ZEJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:GDvlnOrp2ZEJ:scholar.google.com/&output=cite&scirp=202&hl=en,"""emergency department"" machine learning",0,0
186,187,cTLGu1NSF2cJ,Machine-learning approach identifies a pattern of gene expression in peripheral blood that can accurately detect ischaemic stroke,"Peripheral blood was sampled at emergency department admission, and genome-wide  expression profiling was performed via microarray. A machine-learning technique known as",o2016machine,NPJ genomic medicine,1,1--9,article,2016.0,Nature Publishing Group,NPJ genomic …,1.0,30,205,"/scholar?cites=7428496629957014129&as_sdt=5,33&sciodt=1,33&hl=en",https://www.nature.com/articles/npjgenmed201638,https://www.nature.com/articles/npjgenmed201638,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=cTLGu1NSF2cJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:cTLGu1NSF2cJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:cTLGu1NSF2cJ:scholar.google.com/&output=cite&scirp=204&hl=en,"""emergency department"" machine learning",0,0
187,188,WtQh10npOPcJ,"A literature survey on Real-Time Prediction of Waiting Time in the Emergency Department, Using Machine Learning",basic meth ods and algorithms of machine learning. This paper will pass through the different  machine learning tools necessary to run the machine learning projects. T he main focus of,tiwariliterature,,,,article,,,,,0,206,,http://www.ijrsc.in/pdf/004.pdf,http://www.ijrsc.in/pdf/004.pdf,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=WtQh10npOPcJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=",,/scholar?hl=en&q=info:WtQh10npOPcJ:scholar.google.com/&output=cite&scirp=205&hl=en,"""emergency department"" machine learning",0,0
188,189,MRtbQexOUBAJ,Comparison of adaptive neuro-fuzzy inference system and artificial neutral networks model to categorize patients in the emergency department,"In this study, neural network was chosen to test the applicability of the machine learning  technique using triage data due to its simplicity. However, there are many parameters need to",azeez2013comparison,SpringerPlus,1,1--10,article,2013.0,Springer,SpringerPlus,2.0,53,207,"/scholar?cites=1175526279359437617&as_sdt=5,33&sciodt=1,33&hl=en",https://link.springer.com/article/10.1186/2193-1801-2-416,https://link.springer.com/article/10.1186/2193-1801-2-416,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=MRtbQexOUBAJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:MRtbQexOUBAJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:MRtbQexOUBAJ:scholar.google.com/&output=cite&scirp=206&hl=en,"""emergency department"" machine learning",0,0
189,190,J1QX5pu9gAAJ,Influenza detection from emergency department reports using natural language processing and Bayesian network classifiers,We used the EM-MAP algorithm28 as the machine learning method with a stopping  criterion of |Δ(P(model|data))|<0.01. We selected the EM-MAP algorithm because it can handle,ye2014influenza,Journal of the American Medical Informatics Association,5,815--823,article,2014.0,"BMJ Publishing Group BMA House, Tavistock Square, London, WC1H 9JR",Journal of the American …,21.0,44,208,"/scholar?cites=36237274296833063&as_sdt=5,33&sciodt=1,33&hl=en",https://academic.oup.com/jamia/article/21/5/815/758360,https://academic.oup.com/jamia/article-abstract/21/5/815/758360,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=J1QX5pu9gAAJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:J1QX5pu9gAAJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:J1QX5pu9gAAJ:scholar.google.com/&output=cite&scirp=207&hl=en,"""emergency department"" machine learning",0,0
190,191,5DWZ-Ehuz8gJ,Machine learning and artificial intelligence: applications in healthcare epidemiology,"of tasks by machines ordinarily associated with human intelligence. Machine learning (ML)  is  Examples include model-building efforts to assist emergency department triage, predicting",hamilton2021machine,Antimicrobial Stewardship \& Healthcare Epidemiology,1,,article,2021.0,Cambridge University Press,Antimicrobial …,1.0,3,209,"/scholar?cites=14469905387452184036&as_sdt=5,33&sciodt=1,33&hl=en",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/60FFBF2D360CF70446AC5B4A972B299A/S2732494X21001923a.pdf/div-class-title-machine-learning-and-artificial-intelligence-applications-in-healthcare-epidemiology-div.pdf,https://www.cambridge.org/core/journals/antimicrobial-stewardship-and-healthcare-epidemiology/article/machine-learning-and-artificial-intelligence-applications-in-healthcare-epidemiology/60FFBF2D360CF70446AC5B4A972B299A,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=5DWZ-Ehuz8gJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:5DWZ-Ehuz8gJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:5DWZ-Ehuz8gJ:scholar.google.com/&output=cite&scirp=208&hl=en,"""emergency department"" machine learning",0,0
191,192,jXhOzDRbErAJ,Prediction of good neurological recovery after out-of-hospital cardiac arrest: a machine learning analysis,Variables that could be obtained within 24 hours of the emergency department visit were  used. The area under the receiver operation curve (AUROC) was calculated to assess the,park2019prediction,Resuscitation,,127--135,article,2019.0,Elsevier,Resuscitation,142.0,13,210,"/scholar?cites=12687303382580230285&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.sciencedirect.com/science/article/pii/S0300957219305428,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D200%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=jXhOzDRbErAJ&ei=WqQ0Y6SjIO2KywSS3bH4Bg&json=","/scholar?q=related:jXhOzDRbErAJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:jXhOzDRbErAJ:scholar.google.com/&output=cite&scirp=209&hl=en,"""emergency department"" machine learning",0,0
192,193,viTvIVBZy88J,Improving ED emergency severity index acuity assignment using machine learning and clinical natural language processing,"Site A is a community emergency department in an urban setting in the Western US, with 65  000 annual visits. Site B is a level 1 trauma center in an urban setting in the Midwestern US,",ivanov2021improving,Journal of Emergency Nursing,2,265--278,article,2021.0,Elsevier,Journal of Emergency …,47.0,18,211,"/scholar?cites=14973159586824922302&as_sdt=5,33&sciodt=1,33&hl=en",https://www.sciencedirect.com/science/article/pii/S0099176720303767,https://www.sciencedirect.com/science/article/pii/S0099176720303767,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D210%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=viTvIVBZy88J&ei=O6c0Y-65NojaygS29LHABw&json=","/scholar?q=related:viTvIVBZy88J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:viTvIVBZy88J:scholar.google.com/&output=cite&scirp=210&hl=en,"""emergency department"" machine learning",0,0
193,194,UHE9nm3nv-kJ,Predicting Avoidable Emergency Department Visits Using the NHAMCS Dataset,"Avoidable emergency department (ED) visits put significant strain on the healthcare  system  Thus, the goal of this study is to use several machine learning algorithms to predict",yang2022predicting,,,514,inproceedings,2022.0,,AMIA Annual …,2022.0,0,212,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9285177/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9285177/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D210%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=UHE9nm3nv-kJ&ei=O6c0Y-65NojaygS29LHABw&json=",,/scholar?hl=en&q=info:UHE9nm3nv-kJ:scholar.google.com/&output=cite&scirp=211&hl=en,"""emergency department"" machine learning",0,0
194,195,zp2Z_U-XSCcJ,Queue-based features for dynamic waiting time prediction in emergency department,"As future development, we aim at exploiting larger data sets and at investigating other  advanced methods in the areas of artificial intelligence and machine learning (eg neural network, k",benevento2019queue,Measuring Business Excellence,4,458--471,article,2019.0,Emerald Publishing Limited,Measuring Business …,23.0,19,213,"/scholar?cites=2830678735615270350&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.emerald.com/insight/content/doi/10.1108/MBE-12-2018-0108/full/html,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D210%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=zp2Z_U-XSCcJ&ei=O6c0Y-65NojaygS29LHABw&json=","/scholar?q=related:zp2Z_U-XSCcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:zp2Z_U-XSCcJ:scholar.google.com/&output=cite&scirp=212&hl=en,"""emergency department"" machine learning",0,0
195,196,r-3pGx9pmHIJ,Building a natural language processing tool to identify patients with high clinical suspicion for Kawasaki disease from emergency department notes,"NLP algorithms are varied and include pattern recognition and machine learning (ie,  Google), such as decision trees with if–then branch points or probabilistic models that place a",doan2016building,Academic Emergency Medicine,5,628--636,article,2016.0,Wiley Online Library,Academic …,23.0,41,214,"/scholar?cites=8257465499117022639&as_sdt=5,33&sciodt=1,33&hl=en",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acem.12925,https://onlinelibrary.wiley.com/doi/abs/10.1111/acem.12925,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D210%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=r-3pGx9pmHIJ&ei=O6c0Y-65NojaygS29LHABw&json=","/scholar?q=related:r-3pGx9pmHIJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:r-3pGx9pmHIJ:scholar.google.com/&output=cite&scirp=213&hl=en,"""emergency department"" machine learning",0,0
